ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-70154-7;Interreligiöse Erziehung und Bildung in Kitas;Harz, Frieder;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70210-9;Wir sind alle 'andere';-;20150422;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-54044-3;The Isaianic Denkschrift and a Socio-Cultural Crisis in Yehud;Prokhorov, Alexander;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61509-6;konfi live. Mein Sammelordner;-;20140327;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
978-3-525-37035-3;Machtvolle Verhandlungen;Ortmann, Alexandra;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53435-9;Septuaginta. Band 16,1;-;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55095-3;The Perspective from Mt. Sinai: The Book of Jubilees and Exodus;Halpern-Amaru, Betsy;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-51215-0;Kohelet;Melanie Köhlmoos;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70160-8;Lernfeld: Persönlichkeit;Soth, Johannes;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56943-6;Medizin und Ärzte im deutschen Judentum der Reformära;Wolff, Eberhard;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-54018-3;Transformationen des tibetischen Buddhismus im 20. Jahrhundert;Rakow, Katja;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46057-3;Alfred Adler Studienausgabe, Bände 1–7;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46214-1;Traumatherapie mit EMDR;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99716-2;Handbuch Qualität in der Aufstellungsleitung;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70169-1;Kinder coachen: die bessere Pädagogik;Thiel, Anne;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-27833-9;Göttinger Händel-Beiträge, Band 16;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-37036-1;Der jüdische Mai ’68;Voigt, Sebastian;20150330;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80606-8;Kunst – dem Leid An-Sehen geben;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46058-1;Alfred Adler – wie wir ihn kannten;-;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40245-0;Praxishandbuch Traumapädagogik;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40373-1;Das Problem, der Spruch, die Lösung;Kühling, Ludger;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70216-2;Werkbuch Diakonisches Lernen;Dorner, Martin /Fricke, Michael;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70212-4;Ethische und interreligiöse Kompetenzen in der Pflege;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70215-4;Religionspädagogisches Kompendium;-;20140716;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-30172-2;Tango in Paris und Berlin;Lange, Kerstin;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-67017-0;Wahrgenommene Individualität;Schmidt, Jochen;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55911-6;Pietismus und Neuzeit Band 39 – 2013;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99699-8;'Eine neue Menschheit darstellen' – Religionsphilosophie als Weltverantwortung und Weltgestaltung;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-37035-4;Machtvolle Verhandlungen;Ortmann, Alexandra;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40247-5;The Trinity of Trauma: Ignorance, Fragility, and Control;Nijenhuis, Ellert;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55083-0;Reformed Majorities in Early Modern Europe;-;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80220-5;Lustrum Band 56 - 2014;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30069-6;Die Ambivalenz des Guten;Eckel, Jan;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36968-6;Todesurteile sowjetischer Militärtribunale gegen Deutsche (1944–1947);-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37305-7;Deutschland und das Protektorat Böhmen und Mähren;-;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56418-0;Sprachloses Wort?;Ringleben, Joachim;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31716-8;Die Hamburger Sturmflut von 1962;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-50342-4;Liederkunde zum Evangelischen Gesangbuch. Heft 19;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-25816-3;Index Hippocraticus, Teil: Neue Nachträge;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40371-6;Teamcoaching und Teamsupervision;Obermeyer, Klaus /Pühl, Harald;20150422;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99628-8;Traumatischer Stress in der Familie;Korittko, Alexander /Pleyer, Karl Heinz;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-60450-3;More than a Provocation;Knauss, Stefanie;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99691-2;Wir sind alle 'andere';-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70160-7;Lernfeld: Persönlichkeit;Soth, Johannes;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30052-7;Polonia Pontificia;Könighaus, Waldemar;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40232-0;Erwärmen in der Trauer;Schnegg, Matthias;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40368-6;Beratung: Reflexivität als Profession;Seel, Hans-Jürgen;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99623-3;Transsexualität – Transidentität;Rauchfleisch, Udo;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30083-1;Geteilte Geschichte;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70174-5;Schule ohne Lehrer?;Ulbricht, Arne;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54038-1;Der Buddha und der ›Andere‹;Widmer, Caroline;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-35080-5;Knastware für den Klassenfeind;Wunschik, Tobias;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40230-7;Gruppenpsychotherapie und Gruppenanalyse;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99724-7;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40239-0;Brauchen wir die Liebe noch?;Natho, Frank;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45022-2;Kunst und Psyche - Berührungspunkte und Begegnungen;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30055-8;Die Grünen und die Pädosexualität;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54032-0;Das Markusevangelium als kollektives Gedächtnis;Hübenthal, Sandra;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56020-4;'Eine neue Menschheit darstellen' - Religionsphilosophie als Weltverantwortung und Weltgestaltung;-;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-60453-3;Was bedeutet Spiritualität?;Keller, Barbara /Streib, Heinz;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80607-4;Leid im Abseits - Aberkannte und nicht gesehene Trauer;-;20140813;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40370-9;Salutogene Aufstellungen;-;20141119;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40363-1;Systemische Streifzüge;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40238-2;Suizid, Suizidalität und Trauer;Schenk, Marion;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-63054-9;Erinnerungsfeste;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40218-4;Ängstliche Kinder unterstützen;Lebowitz, Eli /Omer, Haim;20150128;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-70172-1;Guter Unterricht: Was wir wirklich darüber wissen;Gold, Andreas;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-59367-8;Teufel, Tod und Trauer;Theobald, Florian;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99574-8;Autorität durch Beziehung;Omer, Haim /Schlippe, Arist von;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70157-7;Philosophieunterricht;Fröhlich, Michael /Langebeck, Klaus;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54027-6;A Christian in Toga;Moreschini, Claudio;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31019-0;Das Archiv der Stasi;-;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99667-7;Interreligiöses Lernen narrativ;Zimmermann, Mirjam;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31713-6;Weltmeere;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70154-6;Interreligiöse Erziehung und Bildung in Kitas;Harz, Frieder;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99666-0;Gerechtigkeit im Wohlfahrtsstaat;Torp, Cornelius ;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31024-4;Skizzen über den Totalitarismus;Hertz, Aleksander;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31023-6;Antiklerikalismus in Europa;Dittrich, Lisa;20140813;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-87446-3;Lutherjahrbuch 81. Jahrgang 2014;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55072-5;Argula von Grumbach;Matheson, Peter;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40194-1;Entwicklungsdimensionen der Liebe;Bleckwedel, Jan;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-20771-1;Etymologisches Wörterbuch des Althochdeutschen, Band 5;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40248-1;Das Alphabet der Trauer;Hemmann, Isabella;20150311;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99551-9;Dienst am Wort Sonderausgabe Symbole;Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54036-7;A Story of the Soul’s Journey in the Nag Hammadi Library;Tervahauta, Ulla;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54018-4;Transformationen des tibetischen Buddhismus im 20. Jahrhundert;Rakow, Katja;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99710-0;Versöhnung;Wenz, Gunther;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30071-9;Von der Hauptstadtposse zur Erfolgsgeschichte;Bussenius, Daniel;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40341-9;Wie viel Tod verträgt das Team?;-;20140813;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-56449-4;Rezeption und Anerkennung;Bengard, Beate;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77012-2;Religion mit Kindern 4;Steinkühler, Martina;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-77683-5;Kooperatives Lernen im kompetenzorientierten Religionsunterricht;Arnhold, Oliver /Karsch, Manfred;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71105-8;Latine loqui: gehört - gesprochen - gelernt;Bethlehem, Ulrike;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-64202-3;Evangelisches Gesangbuch Großdruckausgabe - neue Rechtschreibung;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53449-7;Septuaginta. Band 7,2;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40194-2;Entwicklungsdimensionen der Liebe;Bleckwedel, Jan;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54394-8;Skarabäen des 1. Jahrtausends;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54026-9;Kulturgeschichte der frühen Neuzeit;Grabner-Haider, Anton /Klaus S. Davidowicz;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40195-9;Handbuch systemische Kinder- und Jugendlichenpsychotherapie;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99518-2;System und Körper;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36084-2;Johannes Haller;Hasselhorn, Benjamin;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-35079-9;Der Häftlingsfreikauf aus der DDR 1962/63-1989;Wölbern, Jan Philipp;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-51696-7;Theologie des Alten Testaments;Jeremias, Jörg;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77007-8;Tatort Bibel;Grasser, Patrick;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-71090-7;VIVA 3 Diagnose und individuelle Förderung;Scholz, Barbara;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99688-2;Geschichte des Urchristentums;Koch, Dietrich-Alex;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10133-0;Architektur der Diplomatie;Hort, Jakob;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99673-8;Theologie des Alten Testaments;Jeremias, Jörg;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40236-8;Trauer in Träumen;Müller, Willy Peter;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-67017-1;Wahrgenommene Individualität;Schmidt, Jochen;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45237-0;Zwischen Biologie und Biographie;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77009-3;Technik – Leben – Religion ;Gather, Johannes /Gronover, Matthias;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71108-9;Vive hodie!;Sirchich von Kis-Sira, Andreas;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70157-8;Philosophieunterricht;Fröhlich, Michael /Langebeck, Klaus;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-61508-0;konfi live;-;20140327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40372-3;Systemisches Karrierecoaching;Balz, Hans-Jürgen /Plöger, Peter;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-49050-1;Beruflich in China;Heisel, Wolfgang /Schenk, Eberhard;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-90018-6;Lucius Annaeus Seneca, Zeit und Freizeit;Hengelbrock, Matthias;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55064-0;The Text of the Hebrew Bible;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31706-8;Die Natur der Gefahr;Lübken, Uwe;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-54023-8;Religion in der verrechtlichten Gesellschaft;Reuter, Astrid;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-35079-0;Der Häftlingsfreikauf aus der DDR 1962/63–1989;Wölbern, Jan Philipp;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-51696-6;Theologie des Alten Testaments;Jeremias, Jörg;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-25305-2;Pseudo-Plutarch und Stobaios: Eine synoptische Untersuchung;Bottler, Heike;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-35102-4;Die DDR im Blick der Stasi 1960;-;20140701;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30057-2;Deutschland in Grün;Uekötter, Frank;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40237-5;Trauergruppen leiten;Müller, Monika;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-54036-8;A Story of the Soul's Journey in the Nag Hammadi Library;Tervahauta, Ulla;20141201;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-36845-0;Revolution als Zeitgeschichte;Karla, Anna;20140618;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99519-9;Lehrbuch der Psychodynamik;Mentzos, Stavros;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54038-2;Der Buddha und der ›Andere‹;Widmer, Caroline;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55077-9;Britain and the Bestandstwisten;Platt, Eric;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-31713-7;Weltmeere;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56022-9;Karl Barth und Friedrich Schleiermacher;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55080-0;Die Präsenz Christi im Amt;Mumme, Jonathan;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30064-1;Das Publikum macht die Musik;Müller, Sven Oliver;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31715-0;Projektion Natur;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56448-6;Karl Barth - Katsumi Takizawa;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55094-7;The Dynamics of Dream-Vision Revelation in the Aramaic Dead Sea Scrolls ;Perrin, Andrew;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40379-3;Rituale und Spiritualität in der Psychotherapie;Brentrup, Martin /Kupitz, Gaby;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-49155-4;Internationale Personalauswahl;Riedel, Tim;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56018-2;Societies in Transition;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80605-0;Trauma zwischen Akzeptanz und Ignoranz;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40195-8;Handbuch systemische Kinder- und Jugendlichenpsychotherapie;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55096-1;Exploring the Dead Sea Scrolls;Eshel, Hanan;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-10138-5;Umwelt und Weltgestaltung;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36969-2;Vergleich als Herausforderung;-;20150316;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-57224-6;Jahrbuch für Liturgik und Hymnologie;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40245-1;Praxishandbuch Traumapädagogik;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30072-6;Asien und Europa im Mittelalter;Reichert, Folker;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-77687-3;Kirche ohne Juden;Arnhold, Oliver /Lenhard, Hartmut;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37036-0;Der jüdische Mai '68;Voigt, Sebastian;20150330;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55095-4;The Perspective from Mt. Sinai: The Book of Jubilees and Exodus;Halpern-Amaru, Betsy;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61507-2;konfi live;-;20140327;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30064-0;Das Publikum macht die Musik;Müller, Sven Oliver;20140424;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-53463-2;Die Taten des Petrus;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-45241-7;Handeln: Sind wir Menschen rational?;Jens Kertscher  /Werbik, Hans;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40467-7;Handbuch Qualität in der Aufstellungsleitung;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30168-6;Gerechtigkeit im Wohlfahrtsstaat;Torp, Cornelius ;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77687-2;Kirche ohne Juden;Arnhold, Oliver /Lenhard, Hartmut;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99523-6;Coaching als kreativer Prozess;Richter, Kurt F.;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80211-3;Lustrum Band 55 - 2013;Kißel, Walter;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-31025-0;Volk oder Religion?;Lenhard, Philipp;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55096-0;Exploring the Dead Sea Scrolls: Archaeology and Literature of the Qumran Caves;Eshel, Hanan;20150916;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-25816-4;Index Hippocraticus, Teil: Neue Nachträge;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46125-9;'Melancholia' - Wege zur psychoanalytischen Interpretation des Films;-;20140514;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-90031-5;Römische Rhetorik: Ciceros Reden gegen Verres und Catilina - Lehrerband;Kuhn-Chen, Barbara;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80608-2;Suizid: Aus-Weg-Los!?;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55053-4;Paul Althaus (1888–1966);Jasper, Gotthard;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-59361-6;Den christlichen Glauben verstehen;Ogden, Schubert M.;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-88007-5;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56853-8;Gott und Götter in den Weltreligionen;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54391-7;Le culte des pierres à Emar à l’époque hittite;Michel, Patrick;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-35080-6;Knastware für den Klassenfeind;Wunschik, Tobias;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99717-9;Beruflich in Bolivien;Georg, Mariela I. /Kölbl, Carlos;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40376-1;Die Welt erkunden;Stölzel, Thomas;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99677-6;Integrationsmanagement – Onboarding neuer Mitarbeiter;Habermann, Wolfgang /Lohaus, Daniela;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31025-1;Volk oder Religion?;Lenhard, Philipp;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54016-0;Christian Apocrypha;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
